MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
58.04125,420.6172,-37.13356,-31.22617,429.715,-1,0,0,0,0,4.73085,5.978751,48.37271,0,4.73085,3.590635,-1,0,0,0,0,0,8.042206,-12.71058,-1.851715,35.33152,0,-12.71058,-3.819053,1,0,0,0,0,0,-10,93.18679,0.7430967,1.655027,6.000687,-7.024135,1,0,0,0,0,-93.99931,0,0,130,0,0,45,2,213

91.72459,407.4347,-33.44493,58.04125,420.6172,1,0,0,0,0,5.989613,3.844831,16.18059,0,4.73085,5.978751,-1,0,0,0,0,0,10,-13.8,-3.496389,49.06578,0,-12.71058,-1.851715,-1,0,0,0,0,0,-10,93.14183,-0.290012,1.256248,6.000687,2.437654,1,0,0,0,0,-94.20222,0,0,130,0,0,46,2,213

109.7726,410.271,-45.42042,91.72459,407.4347,1,0,0,0,0,6.327408,1.328842,-10.47569,0,5.989613,3.844831,-0.2263636,0,0,0,0,0,8.87854,-13.8,-5.008731,47.22675,0,-13.8,-3.496389,-1,0,0,0,0,0,-10,93.52953,-2.016607,0,5.797775,-0.9513553,1,0,0,0,0,-94.57086,0,0,130,0,0,47,2,213

137.0688,315.0864,-79.82679,109.7726,410.271,1,0,0,0,0,6.255047,-1.489664,-42.74427,0,6.255047,1.328842,0.4580134,0,0,0,0,0,4.278026,-13.74495,-6.216077,34.12413,0,-13.74495,-5.008731,-1,0,0,0,0,0,-10,94.49507,-3.0209,0,4.684677,-6.615279,1,0,0,0,0,-95.31532,0,0,130,0,0,48,2,213

189.7007,257.9251,-95.4138,137.0688,315.0864,1,0,0,0,0,6.413399,-3.743505,-59.94153,0,6.413399,-1.489664,1,0,0,0,0,0,-0.9158125,-15.06906,-6.774362,-14.74975,0,-15.06906,-6.216077,-1,0,0,0,0,0,-10,95.85194,-3.332882,0,4.151596,-9.90976,-1,0,0,0,0,-95.8484,0,0,130,0,0,49,2,213

236.4298,239.1801,-120.5858,-170.2993,257.9251,-1,0,0,0,0,5.930889,-5.420677,-48.15301,0,6.413399,-3.743505,1,0,0,0,0,0,-5.105703,-14.95895,-6.894305,-62.88713,0,-15.06906,-6.774362,0.4369773,0,0,0,0,0,-10,97.04777,-3.039193,0.2456369,4.151596,-10.93319,-1,0,0,0,0,-96.9687,0,0,130,0,0,50,2,213

248.4375,231.1521,-84.54826,-123.5702,239.1801,-1,0,0,0,0,5.621414,-3.130168,-37.47646,0,5.930889,-5.420677,1,0,0,0,0,0,-8.36301,-15.88322,-6.908266,-74.51051,0,-14.95895,-6.894305,1,0,0,0,0,0,-10,97.40417,-1.6482,0.5823629,3.031303,-9.96977,-1,0,0,0,0,-97.93044,0,0,130,0,0,51,2,213

265.4169,297.8873,-40.24555,-111.5625,231.1521,-1,0,0,0,0,4.619267,1.55908,-6.884942,0,4.619267,-3.130168,1,0,0,0,0,0,-4.484014,-15.90639,-6.731077,-87.15926,0,-15.90639,-6.908266,1,0,0,0,0,0,-10,97.33154,1.200293,1.014064,1.829437,-5.406755,-1,0,0,0,0,-98.17056,0,0,130,0,0,52,2,213

272.7424,328.2377,-21.92151,-94.58313,297.8873,-1,0,0,0,0,4.382145,4.198138,15.20038,0,4.382145,1.55908,0.3425411,0,0,0,0,0,4.16477,-16.88571,-6.447303,-89.68323,0,-16.88571,-6.731077,1,0,0,0,0,0,-10,96.85708,2.250772,1.083405,1.612152,3.937442,1,0,0,0,0,-98.38785,0,0,130,0,0,53,2,213

288.6869,309.1669,-9.492397,-87.2576,328.2377,-1,0,0,0,0,5.557323,7.596363,48.34882,0,4.382145,4.198138,-0.1900175,0,0,0,0,0,9.070778,-17.8969,-5.4114,-85.32487,0,-16.88571,-6.447303,1,0,0,0,0,0,-10,95.81718,3.22533,0.320944,1.612152,7.383434,1,0,0,0,0,-97.98917,0,0,130,0,0,54,2,213

341.7899,263.9894,0,-71.31314,309.1669,-1,0,0,0,0,5.90097,5.132084,79.47725,0,5.557323,7.596363,-1,0,0,0,0,0,10,-18.77482,-6.709018,-38.89714,0,-17.8969,-5.4114,1,0,0,0,0,0,-10,94.15334,4.384233,0,2.010826,10.58037,1,0,0,0,0,-96.99611,0,0,130,0,0,55,2,213

97.47766,240.3743,-1.380206,-18.21005,263.9894,1,0,0,0,0,6.455833,1.891123,66.82143,0,6.455833,5.132084,-1,0,0,0,0,0,10,-18.93998,-8.695345,81.5813,0,-18.93998,-6.709018,1,0,0,0,0,0,-10,92.15664,5.401604,0,4.868652,14.38204,1,0,0,0,0,-95.13135,0,0,130,0,0,56,2,213

107.8937,253.2123,0.269801,97.47766,240.3743,1,0,0,0,0,7.126041,-0.5933219,44.20954,0,7.126041,1.891123,-1,0,0,0,0,0,5.575023,-19.79472,-10.02936,95.90722,0,-19.79472,-8.695345,-1,0,0,0,0,0,-10,90.3765,6.016348,0,6.839111,17.71942,1,0,0,0,0,-93.16089,0,0,130,0,0,57,2,213

109.5959,213.9345,0,107.8937,253.2123,1,0,0,0,0,7.34552,-1.786309,29.03893,0,7.126041,-0.5933219,-1,0,0,0,0,0,0.9564408,-21.15071,-10.37266,101.7663,0,-19.79472,-10.02936,-1,0,0,0,0,0,-10,88.91614,6.835583,0,6.839111,19.73603,1,0,0,0,0,-91.60344,0,0,130,0,0,58,2,213

110.2798,173.1544,0,109.5959,213.9345,1,0,0,0,0,7.33429,-2.768266,8.407018,0,7.34552,-1.786309,-0.9373414,0,0,0,0,0,-1.197892,-21.12753,-10.71512,106.4164,0,-21.15071,-10.37266,-1,0,0,0,0,0,-10,86.1412,8.134865,0,8.396561,22.42345,1,0,0,0,0,-90.25739,0,0,130,0,0,59,2,213

110.1309,170.4048,0,110.2798,173.1544,1,0,0,0,0,6.243179,-2.9823,-5.05607,0,6.243179,-2.768266,-0.354442,0,0,0,0,0,-3.341927,-21.92722,-10.77952,106.3533,0,-21.92722,-10.71512,-1,0,0,0,0,0,-10,83.91216,9.010624,0,12.81181,26.68561,1,0,0,0,0,-87.18819,0,0,130,0,0,60,2,213

