MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
93.3305,-172.8382,5.234871,100.2661,-181.4046,1,0,0,0,0,-0.5435548,-6.024181,7.435728,0,0.0508523,-5.150189,0.07046086,0,0,0,0,0,-9.559505,0,0,5.111033,3.676665,70.36245,0,3.998434,4.191619,-1,0,0,0,0,0,5,0,0,8.630585,1.38703,0,90.55225,2.470464,0.5,0,0,0,0,-8.636081,0,0,19,0,0,38,2,229
90.18015,-155.0102,5.410344,93.3305,-172.8382,1,0,0,0,0,-0.5288751,-6.480188,20.22466,0,-0.5435548,-6.024181,-0.5825447,0,0,0,0,0,-11.35604,0,0,5.40077,3.406342,70.02196,0,5.111033,3.676665,-1,0,0,0,0,0,5,0,0,8.167361,1.914023,0,91.36392,4.550014,0.5,0,0,0,0,-7.944461,0,0,19,0,0,39,2,229
87.49581,-129.7269,5.742922,90.18015,-155.0102,1,0,0,0,0,-1.204461,-6.879213,31.77866,0,-1.204461,-6.480188,-1,0,0,0,0,0,-12.39476,0,0,5.40077,3.125517,66.66519,0,5.40077,3.406342,-1,0,0,0,0,0,5,0,0,7.534317,2.448443,0,92.79282,6.278762,0.5,0,0,0,0,-7.207181,0,0,19,0,0,40,2,229
83.53984,-84.7303,5.900152,87.49581,-129.7269,1,0,0,0,0,-1.96949,-7.581721,45.09711,0,-1.96949,-6.879213,-1,0,0,0,0,0,-13,0,0,6.356913,2.489748,56.26593,0,6.356913,3.125517,-1,0,0,0,0,0,5,0,0,6.294913,3.095059,0,92.76997,8.031872,0.5,0,0,0,0,-7.230025,0,0,19,0,0,41,2,229
80.26142,-56.60524,6.045995,83.53984,-84.7303,1,0,0,0,0,-2.982869,-8.125911,50.24145,0,-1.96949,-7.581721,-1,0,0,0,0,0,-13,0,0,6.356913,1.87339,46.36683,0,6.356913,2.489748,-1,0,0,0,0,0,5,0,0,5.389048,3.321794,0,92.76997,10.15303,0.5,0,0,0,0,-6.124104,0,0,19,0,0,42,2,229
75.81283,-19.38354,6.182167,80.26142,-56.60524,1,0,0,0,0,-3.759128,-8.920508,52.92788,0,-2.982869,-8.125911,-1,0,0,0,0,0,-13,0,0,7.336231,0.6153891,29.99297,0,6.356913,1.87339,-1,0,0,0,0,0,5,0,0,4.047666,3.329506,0,93.8759,10.89681,0.5,0,0,0,0,-4.800903,0,0,19,0,0,43,2,229
74.7177,2.616432,6.428784,75.81283,-19.38354,1,0,0,0,0,-4.518299,-9.322532,52.06606,0,-4.518299,-8.920508,-1,0,0,0,0,0,-13,0,0,7.414459,-0.4160561,20.06569,0,7.414459,0.6153891,-1,0,0,0,0,0,5,0,0,3.211515,3.121946,0,96.53796,10.92211,0.5,0,0,0,0,-3.462047,0,0,19,0,0,44,2,229
77.31734,31.78147,6.54761,74.7177,2.616432,1,0,0,0,0,-5.531679,-9.584305,47.93586,0,-5.531679,-9.322532,-1,0,0,0,0,0,-13,0,0,7.414459,-2.184992,8.208381,0,7.414459,-0.4160561,-1,0,0,0,0,0,5,0,0,2.133145,2.487058,0,97.64388,10.24123,0.5,0,0,0,0,-2.356125,0,0,19,0,0,45,2,229
81.9968,49.18255,6.671583,77.31734,31.78147,1,0,0,0,0,-6.782179,-9.450124,43.65558,0,-5.531679,-9.584305,-1,0,0,0,0,0,-13,0,0,6.435142,-3.452549,2.083679,0,7.414459,-2.184992,-0.3451008,0,0,0,0,0,4.457285,0,0,1.583596,1.829277,0,97.64388,8.158545,0.5,0,0,0,0,-1.467482,0,0,19,0,0,46,2,229
90.19858,81.22481,6.805049,81.9968,49.18255,1,0,0,0,0,-7.374179,-8.98145,34.66022,0,-6.782179,-9.450124,-1,0,0,0,0,0,-13,0,0,6.356913,-4.554285,-1.607917,0,6.435142,-3.452549,-0.2418539,0,0,0,0,0,-0.545167,0,0,1.320709,0.7417591,0,98.53252,6.000759,0.5,0,0,0,0,-1.331778,0,0,19,0,0,47,2,229
