MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
200.5966,185.1286,0,-155.1938,222.839,-1,0,0,0,0,15.46444,6.569225,7.414923,0,15.199,6.874297,0.7040735,0,0,0,0,0,10,-18.78373,-2.291493,45.40754,0,-18.83879,-2.371611,-1,0,0,0,0,0,-10,41.6527,-8.149848,0,139.0379,-30.49129,1,0,0,0,0,0,0,284,0,0,50,2,209

198.8579,151.3811,0,-159.4034,185.1286,-1,0,0,0,0,15.4869,6.391346,-16.95726,0,15.46444,6.569225,-0.08013738,0,0,0,0,0,10,-18.83008,-2.187201,34.80087,0,-18.78373,-2.291493,-1,0,0,0,0,0,-10,43.95032,-6.934888,0,141.6527,-26.73476,1,0,0,0,0,0,0,284,0,0,51,2,209

198.7785,138.5058,0,-161.1421,151.3811,-1,0,0,0,0,16.76572,6.345108,-28.83279,0,16.76572,6.391346,-0.8356751,0,0,0,0,0,10,-18.77503,-2.133969,29.58504,0,-18.77503,-2.187201,-1,0,0,0,0,0,-10,44.97068,-6.356356,0,143.9503,-22.74921,1,0,0,0,0,0,0,284,0,0,52,2,209

205.2845,111.2029,0,-161.2215,138.5058,-1,0,0,0,0,17.03115,6.238508,-62.3974,0,17.03115,6.345108,-1,0,0,0,0,0,10,-18.71997,-2.023889,9.529449,0,-18.71997,-2.133969,-1,0,0,0,0,0,-10,47.46267,-4.804107,0,144.9707,-20.85139,1,0,0,0,0,0,0,284,0,0,53,2,209

244.4764,93.52018,0,-154.7155,111.2029,-1,0,0,0,0,17.54735,6.170587,-80.5555,0,17.03115,6.238508,-1,0,0,0,0,0,10,-18.89961,-2.005257,-39.76063,0,-18.71997,-2.023889,-1,0,0,0,0,0,-10,48.68951,-3.859463,0,147.4627,-15.75939,1,0,0,0,0,0,0,284,0,0,54,2,209

338.2586,76.43726,0,-115.5236,93.52018,-1,0,0,0,0,18.24002,6.093269,-71.90138,0,17.54735,6.170587,-1,0,0,0,0,0,10,-19.8007,-2.016412,-138.5487,0,-18.89961,-2.005257,1,0,0,0,0,0,-10,49.37088,-2.962056,0,148.6895,-12.66058,1,0,0,0,0,0,0,284,0,0,55,2,209

352.1558,58.54523,0,-21.74142,76.43726,-1,0,0,0,0,18.91561,6.004714,-52.11162,0,18.91561,6.093269,-1,0,0,0,0,0,10,-19.8007,-2.047367,-159.1213,0,-19.8007,-2.016412,1,0,0,0,0,0,-10,50.11681,-2.05835,0,149.3709,-9.716729,1,0,0,0,0,0,0,284,0,0,56,2,209

355.3371,41.22947,0,-7.844238,58.54523,-1,0,0,0,0,19.33699,5.939361,-32.03044,0,19.33699,6.004714,-1,0,0,0,0,0,10,-19.87893,-2.064603,-169.5455,0,-19.87893,-2.047367,1,0,0,0,0,0,-10,50.44357,-1.160654,0,150.1168,-6.752211,1,0,0,0,0,0,0,284,0,0,57,2,209

355.9427,23.0526,0,-4.662872,41.22947,-1,0,0,0,0,19.92899,5.900486,-10.79933,0,19.33699,5.939361,-1,0,0,0,0,0,10,-19.8007,-2.061012,-178.4111,0,-19.87893,-2.064603,1,0,0,0,0,0,-10,50.51335,-0.2244248,0,150.4436,-3.807409,1,0,0,0,0,0,0,284,0,0,58,2,209

355.618,13.75664,-0.02554812,-4.057312,23.0526,-1,0,0,0,0,21.01472,5.889505,0.1621399,0,19.92899,5.900486,-0.6447794,0,0,0,0,0,10,-19.85575,-2.049713,177.1487,0,-19.8007,-2.061012,1,0,0,0,0,0,-10,50.57701,0.2451802,0,150.5134,-0.7362032,1,0,0,0,0,0,0,284,0,0,59,2,209

353.5637,-4.61299,0,-4.38205,13.75664,-1,0,0,0,0,21.01472,5.87112,22.32294,0,21.01472,5.889505,-0.3049737,0,0,0,0,0,10,-19.85575,-2.019362,167.6367,0,-19.85575,-2.049713,-1,0,0,0,0,0,-10,50.36747,1.155092,0,150.577,0.804289,1,0,0,0,0,0,0,284,0,0,60,2,209

348.3163,-20.67487,0,-6.436279,-4.61299,-1,0,0,0,0,21.01472,5.830636,43.69219,0,21.01472,5.87112,0.3820111,0,0,0,0,0,10,-19.85575,-2.002901,155.5999,0,-19.85575,-2.019362,-1,0,0,0,0,0,-10,49.69515,2.026192,0,150.3675,3.789165,1,0,0,0,0,0,0,284,0,0,61,2,209

334.0032,-33.96749,0,-11.68369,-20.67487,-1,0,0,0,0,21.8262,5.748094,62.98773,0,21.01472,5.830636,1,0,0,0,0,0,10,-21.13351,-2.011755,134.8191,0,-19.85575,-2.002901,-1,0,0,0,0,0,-10,48.96246,2.878901,0,149.6952,6.64672,1,0,0,0,0,0,0,284,0,0,62,2,209

285.9957,-44.92461,0,-25.9968,-33.96749,-1,0,0,0,0,22.23635,5.635016,74.36792,0,21.8262,5.748094,1,0,0,0,0,0,10,-21.18856,-2.046172,79.75117,0,-21.13351,-2.011755,-1,0,0,0,0,0,-10,47.81753,3.748926,0,148.9625,9.443948,1,0,0,0,0,0,0,284,0,0,63,2,209

230.5194,-53.959,0,-74.00427,-44.92461,-1,0,0,0,0,22.66118,5.531815,65.33903,0,22.66118,5.635016,1,0,0,0,0,0,10,-20.95388,-2.059969,19.57261,0,-20.95388,-2.046172,-1,0,0,0,0,0,-10,46.19641,4.643079,0,147.8175,12.29798,1,0,0,0,0,0,0,284,0,0,64,2,209

