total,roll,pitch,yaw,,,,,NewTotal
135619.8348,433.5045925,613.6652452,405812.3346, Mag 12, Accel 5, lowestaccel 4, lowestMag 12,1245.626312
135629.9319,495.0082144,604.2275004,405790.5599, Mag 12, Accel 6, lowestaccel 4, lowestMag 12,1277.597411
135705.3252,572.4169887,599.8055159,405943.753, Mag 12, Accel 7, lowestaccel 4, lowestMag 12,1329.021015
135824.5274,661.1421603,598.976013,406213.464, Mag 12, Accel 8, lowestaccel 4, lowestMag 12,1394.32064
178351.1236,758.2601381,600.9716162,533694.1392, Mag 12, Accel 9, lowestaccel 4, lowestMag 12,1470.152528
178473.0974,861.7808984,605.2696308,533952.2416, Mag 12, Accel 10, lowestaccel 4, lowestMag 12,1554.24012
178623.0518,970.2761551,611.4621941,534287.4171, Mag 12, Accel 11, lowestaccel 4, lowestMag 12,1644.900408
262541.7585,634.810935,1255.621598,785734.8429, Mag 13, Accel 1, lowestaccel 4, lowestMag 12,2359.540598
177974.8114,475.1281621,794.2653271,532655.0407, Mag 13, Accel 2, lowestaccel 4, lowestMag 12,1547.744112
135426.7995,407.9573975,685.5648266,405186.8762, Mag 13, Accel 3, lowestaccel 4, lowestMag 12,1334.315288
92408.62854,405.1460111,647.6059926,276173.1336, Mag 13, Accel 4, lowestaccel 4, lowestMag 13,1275.268497
135369.284,441.1669971,629.8415366,405036.8435, Mag 13, Accel 5, lowestaccel 4, lowestMag 13,1275.637553
135379.8902,501.4155793,620.5172039,405017.7377, Mag 13, Accel 6, lowestaccel 4, lowestMag 13,1306.83749
135451.2539,577.8042212,616.1147803,405159.8428, Mag 13, Accel 7, lowestaccel 4, lowestMag 13,1357.525336
135561.8495,665.5949253,615.2354628,405404.718, Mag 13, Accel 8, lowestaccel 4, lowestMag 13,1422.049388
178082.8131,761.8008694,617.1305074,532869.5079, Mag 13, Accel 9, lowestaccel 4, lowestMag 13,1497.046413
178189.8045,864.4070722,621.291101,533083.7155, Mag 13, Accel 10, lowestaccel 4, lowestMag 13,1580.241956
178320.9331,971.9757146,627.3183781,533363.5052, Mag 13, Accel 11, lowestaccel 4, lowestMag 13,1669.959353
638783.9844,674.7714061,1285.832368,1914391.349, Mag 14, Accel 1, lowestaccel 4, lowestMag 13,2434.827106
177677.1465,496.1984583,811.2692786,531723.9718, Mag 14, Accel 2, lowestaccel 4, lowestMag 13,1589.052762
135196.5324,421.1628256,701.5258199,404466.9087, Mag 14, Accel 3, lowestaccel 4, lowestMag 13,1368.160849
92209.74363,414.80902,663.7349926,275550.6869, Mag 14, Accel 4, lowestaccel 4, lowestMag 14,1306.709254
135183.3777,448.9044906,646.160233,404455.0683, Mag 14, Accel 5, lowestaccel 4, lowestMag 14,1305.918717
135198.5219,507.8598165,636.9259238,404450.78, Mag 14, Accel 6, lowestaccel 4, lowestMag 14,1336.283748
135271.0115,583.206732,632.5260689,404597.3016, Mag 14, Accel 7, lowestaccel 4, lowestMag 14,1386.194152
135379.1653,670.0506917,631.5843761,404835.861, Mag 14, Accel 8, lowestaccel 4, lowestMag 14,1449.914583
177896.0482,765.3389072,633.3694083,532289.4363, Mag 14, Accel 9, lowestaccel 4, lowestMag 14,1524.058293
177995.3379,867.0288172,637.3848754,532481.5999, Mag 14, Accel 10, lowestaccel 4, lowestMag 14,1606.348926
178115.6832,973.6724478,643.2406038,532730.1365, Mag 14, Accel 11, lowestaccel 4, lowestMag 14,1695.115242
679208.2658,717.4763259,1315.087822,2035592.233, Mag 15, Accel 1, lowestaccel 4, lowestMag 14,2510.738977
177434.3403,518.010255,828.3691797,530956.6415, Mag 15, Accel 2, lowestaccel 4, lowestMag 14,1631.061461
94582.56541,434.649718,717.6741734,282595.3723, Mag 15, Accel 3, lowestaccel 4, lowestMag 14,1402.498549
51523.95625,424.6014512,680.0299012,153467.2374, Mag 15, Accel 4, lowestaccel 4, lowestMag 15,1338.49594
94442.5368,456.7047892,662.6156387,282208.29, Mag 15, Accel 5, lowestaccel 4, lowestMag 15,1336.45205
94425.62192,514.3323536,653.4484393,282109.085, Mag 15, Accel 6, lowestaccel 4, lowestMag 15,1365.921924
94487.56003,588.6176753,649.0339475,282225.0285, Mag 15, Accel 7, lowestaccel 4, lowestMag 15,1415.014178
94602.74078,674.5038792,648.0169702,282485.7015, Mag 15, Accel 8, lowestaccel 4, lowestMag 15,1477.903365
137139.6234,768.8688014,649.6824161,410000.3191, Mag 15, Accel 9, lowestaccel 4, lowestMag 15,1551.175225
137273.6854,869.6405321,653.5449459,410297.8707, Mag 15, Accel 10, lowestaccel 4, lowestMag 15,1632.547818
137438.9524,975.3605867,659.2227862,410682.2739, Mag 15, Accel 11, lowestaccel 4, lowestMag 15,1720.354619
637455.7117,762.750749,1343.309742,1910261.075, Mag 16, Accel 1, lowestaccel 4, lowestMag 15,2587.027675
136703.8415,540.4909688,845.5519777,408725.4816, Mag 16, Accel 2, lowestaccel 4, lowestMag 15,1673.696193
94183.41876,448.3845017,734.0026403,281367.8691, Mag 16, Accel 3, lowestaccel 4, lowestMag 15,1437.292337
51137.12522,434.5052316,696.4850513,152280.3854, Mag 16, Accel 4, lowestaccel 4, lowestMag 16,1370.606501
94053.90027,464.5573092,679.2027294,281017.9408, Mag 16, Accel 5, lowestaccel 4, lowestMag 16,1367.222076
94032.43388,520.826126,670.0794752,280906.396, Mag 16, Accel 6, lowestaccel 4, lowestMag 16,1395.738807
94088.48555,594.0327774,665.6333441,281005.7905, Mag 16, Accel 7, lowestaccel 4, lowestMag 16,1443.974599
94195.99568,678.9512372,664.5283848,281244.5074, Mag 16, Accel 8, lowestaccel 4, lowestMag 16,1506.006005
136719.5551,772.3878837,666.0643035,408720.2131, Mag 16, Accel 9, lowestaccel 4, lowestMag 16,1578.387368
136842.91,872.2405567,669.7663552,408986.7231, Mag 16, Accel 10, lowestaccel 4, lowestMag 16,1658.82995
136995.7486,977.0380878,675.2600647,409334.9475, Mag 16, Accel 11, lowestaccel 4, lowestMag 16,1745.668663
677623.2421,810.4089675,1370.448356,2030688.869, Mag 17, Accel 1, lowestaccel 4, lowestMag 16,2663.47926
178677.3198,563.5714673,862.8091127,534605.5788, Mag 17, Accel 2, lowestaccel 4, lowestMag 16,1716.89227
93843.12379,462.3363012,750.5056913,280316.5294, Mag 17, Accel 3, lowestaccel 4, lowestMag 16,1472.510763
50808.11218,444.5041536,713.0949984,151266.7374, Mag 17, Accel 4, lowestaccel 4, lowestMag 17,1403.020613
93723.42658,472.4530361,695.9163439,280001.9103, Mag 17, Accel 5, lowestaccel 4, lowestMag 17,1398.214293
93698.9889,527.3358855,686.8141012,279882.8167, Mag 17, Accel 6, lowestaccel 4, lowestMag 17,1425.723066
93751.26101,599.4483625,682.3194037,279972.0153, Mag 17, Accel 7, lowestaccel 4, lowestMag 17,1473.065377
93853.64549,683.390831,681.1138347,280196.4318, Mag 17, Accel 8, lowestaccel 4, lowestMag 17,1534.213875
136365.5146,775.8953741,682.5106593,407638.1377, Mag 17, Accel 9, lowestaccel 4, lowestMag 17,1605.68752
136481.2244,874.828011,686.0444972,407882.8007, Mag 17, Accel 10, lowestaccel 4, lowestMag 17,1685.187754
136625.0321,978.7049689,691.3477974,408205.0437, Mag 17, Accel 11, lowestaccel 4, lowestMag 17,1771.050423
676133.6315,860.2587871,1396.480358,2026144.155, Mag 18, Accel 1, lowestaccel 4, lowestMag 17,2739.914627
178317.5708,587.1858414,880.1355424,533485.391, Mag 18, Accel 2, lowestaccel 4, lowestMag 17,1760.592695
93550.26677,476.4769141,767.1780895,279407.1453, Mag 18, Accel 3, lowestaccel 4, lowestMag 17,1508.12482
50525.48252,454.5840159,729.854412,150392.0091, Mag 18, Accel 4, lowestaccel 4, lowestMag 18,1435.71963
93439.525,480.3834893,712.7510654,279125.4404, Mag 18, Accel 5, lowestaccel 4, lowestMag 18,1429.414215
93413.07109,533.8570435,703.6477794,279001.7084, Mag 18, Accel 6, lowestaccel 4, lowestMag 18,1455.864452
93462.95239,604.862173,699.087393,279084.9076, Mag 18, Accel 7, lowestaccel 4, lowestMag 18,1502.277719
135990.3765,687.8215826,697.7687704,406585.5391, Mag 18, Accel 8, lowestaccel 4, lowestMag 18,1562.519342
136063.4621,779.3910696,699.0170258,406711.9783, Mag 18, Accel 9, lowestaccel 4, lowestMag 18,1633.068841
136173.692,877.4037835,702.3753518,406941.2967, Mag 18, Accel 10, lowestaccel 4, lowestMag 18,1711.615865
136310.9186,980.3623014,707.4821875,407244.9114, Mag 18, Accel 11, lowestaccel 4, lowestMag 18,1796.495007
674745.9046,912.1011815,1421.39272,2021904.22, Mag 19, Accel 1, lowestaccel 4, lowestMag 18,2816.164966
219988.434,611.2692196,897.5266037,658456.5062, Mag 19, Accel 2, lowestaccel 4, lowestMag 18,1804.74182
93296.36161,490.7786692,784.0133925,278614.2928, Mag 19, Accel 3, lowestaccel 4, lowestMag 18,1544.104091
50280.79093,464.7305813,746.7570781,149630.8851, Mag 19, Accel 4, lowestaccel 4, lowestMag 19,1468.683553
93193.60372,488.3412946,729.7013488,278362.7685, Mag 19, Accel 5, lowestaccel 4, lowestMag 19,1460.807994
93165.67792,540.3853478,720.5746751,278236.0737, Mag 19, Accel 6, lowestaccel 4, lowestMag 19,1486.151023
