7177.686073,5765.721595,3147.981113,12619.35551, Mag 9, Accel 9, lowestaccel 1, lowestMag 9,
7342.473865,5868.963506,3148.659955,13009.79814, Mag 18, Accel 10, lowestaccel 1, lowestMag 9,
6741.575531,5639.37044,3150.274055,11435.0821, Mag 1, Accel 8, lowestaccel 1, lowestMag 1,
5622.934673,3724.85586,3150.294243,9993.653914, Mag 13, Accel 3, lowestaccel 1, lowestMag 9,
5626.639705,3726.255933,3153.411148,10000.25203, Mag 14, Accel 3, lowestaccel 1, lowestMag 9,
7339.69768,5870.812961,3153.433655,12994.84642, Mag 17, Accel 10, lowestaccel 1, lowestMag 9,
7165.871007,5768.516714,3153.518596,12575.57771, Mag 8, Accel 9, lowestaccel 1, lowestMag 8,
5630.19772,3727.959725,3156.478268,10006.15517, Mag 15, Accel 3, lowestaccel 1, lowestMag 9,
7336.329111,5872.706626,3158.252238,12978.02847, Mag 16, Accel 10, lowestaccel 1, lowestMag 9,
7148.858069,5771.473756,3159.176004,12515.92445, Mag 7, Accel 9, lowestaccel 1, lowestMag 7,
5633.612856,3729.822423,3159.41913,10011.59702, Mag 16, Accel 3, lowestaccel 1, lowestMag 9,
5636.867769,3731.772472,3162.221865,10016.60897, Mag 17, Accel 3, lowestaccel 1, lowestMag 9,
7332.376095,5874.650798,3163.116353,12959.36113, Mag 15, Accel 10, lowestaccel 1, lowestMag 9,
7450.387424,5960.862424,3164.004244,13226.2956, Mag 24, Accel 11, lowestaccel 1, lowestMag 9,
5639.90912,3733.945969,3164.982778,10020.79861, Mag 18, Accel 3, lowestaccel 1, lowestMag 9,
7123.698306,5774.604643,3164.985333,12431.50494, Mag 6, Accel 9, lowestaccel 1, lowestMag 6,
5642.761823,3736.416171,3167.667651,10024.20165, Mag 19, Accel 3, lowestaccel 1, lowestMag 9,
7327.481345,5876.653349,3168.035257,12937.75543, Mag 14, Accel 10, lowestaccel 1, lowestMag 9,
7449.750643,5962.352704,3168.408396,13218.49083, Mag 23, Accel 11, lowestaccel 1, lowestMag 9,
5645.632484,3739.210903,3170.223002,10027.46355, Mag 20, Accel 3, lowestaccel 1, lowestMag 9,
7085.513459,5777.909475,3170.987298,12307.6436, Mag 5, Accel 9, lowestaccel 1, lowestMag 5,
5648.374766,3742.116366,3172.652237,10030.3557, Mag 21, Accel 3, lowestaccel 1, lowestMag 9,
7448.649288,5963.862419,3172.854304,13209.23114, Mag 22, Accel 11, lowestaccel 1, lowestMag 9,
7321.86619,5878.722911,3173.019427,12913.85623, Mag 13, Accel 10, lowestaccel 1, lowestMag 9,
5651.004492,3745.090603,3175.003065,10032.91981, Mag 22, Accel 3, lowestaccel 1, lowestMag 9,
7024.420077,5781.359027,3177.183618,12114.71759, Mag 4, Accel 9, lowestaccel 1, lowestMag 4,
5653.592175,3748.166874,3177.33679,10035.27286, Mag 23, Accel 3, lowestaccel 1, lowestMag 9,
7447.490365,5965.394426,3177.336918,13199.73975, Mag 21, Accel 11, lowestaccel 1, lowestMag 9,
7315.137204,5880.870356,3178.07249,12886.46877, Mag 12, Accel 10, lowestaccel 1, lowestMag 9,
5655.973187,3751.293978,3179.560329,10037.06525, Mag 24, Accel 3, lowestaccel 1, lowestMag 9,
7445.854786,5967.032467,3181.855904,13188.67599, Mag 20, Accel 11, lowestaccel 1, lowestMag 9,
7308.005681,5883.1078,3183.184057,12857.72518, Mag 11, Accel 10, lowestaccel 1, lowestMag 9,
4375.159509,1485.890489,3183.35736,8456.230679, Mag 2, Accel 1, lowestaccel 1, lowestMag 2,
6916.764619,5784.941968,3183.640235,11781.71165, Mag 3, Accel 9, lowestaccel 1, lowestMag 3,
7443.960479,5968.720765,3186.436541,13176.72413, Mag 19, Accel 11, lowestaccel 1, lowestMag 9,
7301.644203,5885.449707,3188.361003,12831.1219, Mag 10, Accel 10, lowestaccel 1, lowestMag 9,
6738.161621,5788.55582,3190.461604,11235.46744, Mag 2, Accel 9, lowestaccel 1, lowestMag 2,
7441.492622,5970.443612,3191.111011,13162.92324, Mag 18, Accel 11, lowestaccel 1, lowestMag 9,
7293.563511,5887.938048,3193.625698,12799.12679, Mag 9, Accel 10, lowestaccel 1, lowestMag 9,
7438.562521,5972.205463,3195.822946,13147.65915, Mag 17, Accel 11, lowestaccel 1, lowestMag 9,
6830.213429,5791.866235,3197.639035,11501.13502, Mag 1, Accel 9, lowestaccel 1, lowestMag 1,
5579.506292,1484.127731,3199.023928,12055.36722, Mag 1, Accel 1, lowestaccel 1, lowestMag 1,
7281.79997,5890.675387,3199.059381,12755.66514, Mag 8, Accel 10, lowestaccel 1, lowestMag 8,
7434.879961,5974.011766,3200.572026,13130.05609, Mag 16, Accel 11, lowestaccel 1, lowestMag 9,
7264.616238,5893.570147,3204.592859,12695.68571, Mag 7, Accel 10, lowestaccel 1, lowestMag 7,
7430.857269,5975.869502,3205.359216,13111.34309, Mag 15, Accel 11, lowestaccel 1, lowestMag 9,
5732.180598,2742.151695,3207.090555,11247.29954, Mag 1, Accel 2, lowestaccel 1, lowestMag 1,
7425.975712,5977.785563,3210.235544,13089.90603, Mag 14, Accel 11, lowestaccel 1, lowestMag 9,
7239.337451,5896.635936,3210.241706,12611.13471, Mag 6, Accel 10, lowestaccel 1, lowestMag 6,
4159.274138,1498.205991,3212.736909,7766.879514, Mag 3, Accel 1, lowestaccel 1, lowestMag 3,
7420.166117,5979.769335,3215.19152,13065.53749, Mag 13, Accel 11, lowestaccel 1, lowestMag 9,
7200.233614,5899.879042,3216.034513,12484.78729, Mag 5, Accel 10, lowestaccel 1, lowestMag 5,
5028.397222,2748.972817,3217.025201,9119.193649, Mag 2, Accel 2, lowestaccel 1, lowestMag 2,
7413.554192,5981.831212,3220.192146,13038.63922, Mag 12, Accel 11, lowestaccel 1, lowestMag 9,
7136.978052,5903.265026,3221.977362,12285.69177, Mag 4, Accel 10, lowestaccel 1, lowestMag 4,
7406.508624,5983.983485,3225.240882,13010.3015, Mag 11, Accel 11, lowestaccel 1, lowestMag 9,
4957.61932,2754.075141,3226.575623,8892.207196, Mag 3, Accel 2, lowestaccel 1, lowestMag 3,
7024.752504,5906.718339,3228.079233,11939.45994, Mag 3, Accel 10, lowestaccel 1, lowestMag 3,
7400.533564,5986.240258,3230.341517,12985.01892, Mag 10, Accel 11, lowestaccel 1, lowestMag 9,
6840.323983,5910.089473,3234.415773,11376.4667, Mag 2, Accel 10, lowestaccel 1, lowestMag 2,
7392.344002,5988.61807,3235.499758,12952.91418, Mag 9, Accel 11, lowestaccel 1, lowestMag 9,
4926.409943,2758.991718,3235.917917,8784.320196, Mag 4, Accel 2, lowestaccel 1, lowestMag 4,
4046.093689,1512.162322,3239.706524,7386.41222, Mag 4, Accel 1, lowestaccel 1, lowestMag 4,
7380.569936,5991.133344,3240.721716,12909.85475, Mag 8, Accel 11, lowestaccel 1, lowestMag 8,
6904.825731,5913.267994,3241.035569,11560.17363, Mag 1, Accel 10, lowestaccel 1, lowestMag 1,
