Total,Roll,Pitch,Yaw,,,,,new total
Total: 5083.88838242448,2977.2376,3191.093431,9083.334116, Mag 32, Accel 22, lowestaccel 7, lowestMag 32,9970.034115
Total: 5126.91792679741,3088.665294,3191.131473,9100.957014, Mag 52, Accel 23, lowestaccel 7, lowestMag 52,10072.15741
Total: 6714.33967387542,5788.90641,3191.161596,11162.95102, Mag 19, Accel 90, lowestaccel 9, lowestMag 19,12708.63406
Total: 4004.28993071681,1392.001453,3191.298214,7429.570124, Mag 36, Accel 9, lowestaccel 7, lowestMag 36,8378.354749
Total: 8014.35033863369,5765.405857,3191.40509,15086.24007, Mag 6, Accel 88, lowestaccel 9, lowestMag 6,13080.29946
Total: 6848.07785113547,5800.154152,3191.556055,11552.52335, Mag 25, Accel 91, lowestaccel 8, lowestMag 25,12758.50318
Total: 6653.8380277003,5777.553963,3191.597485,10992.36263, Mag 12, Accel 89, lowestaccel 10, lowestMag 12,12682.2298
Total: 5533.78870736069,2857.284685,3191.707394,10552.37404, Mag 11, Accel 21, lowestaccel 10, lowestMag 11,10010.20841
Total: 5126.45633489149,3088.980033,3191.842167,9098.546805, Mag 53, Accel 23, lowestaccel 7, lowestMag 53,10073.62104
Total: 5081.79915037153,2977.606512,3191.844317,9075.946622, Mag 33, Accel 22, lowestaccel 7, lowestMag 33,9971.129157
Total: 6689.49965009386,5789.253001,3191.865365,11087.38058, Mag 18, Accel 90, lowestaccel 9, lowestMag 18,12702.79649
Total: 8525.36833656878,5765.73458,3192.145786,16618.22464, Mag 5, Accel 88, lowestaccel 8, lowestMag 5,13235.27516
Total: 6830.73814569623,5800.5044,3192.235589,11499.47445, Mag 24, Accel 91, lowestaccel 8, lowestMag 24,12754.87258
Total: 6719.68228211102,5777.86753,3192.336073,11188.84324, Mag 11, Accel 89, lowestaccel 10, lowestMag 11,12703.63725
Total: 4292.66312124353,1489.461296,3192.502603,8196.025465, Mag 23, Accel 10, lowestaccel 8, lowestMag 23,8545.122919
Total: 5126.09324558314,3089.296808,3192.55459,9096.428339, Mag 54, Accel 23, lowestaccel 7, lowestMag 54,10075.11914
Total: 6664.33311556367,5789.595011,3192.572799,11010.83154, Mag 17, Accel 90, lowestaccel 9, lowestMag 17,12696.86426
Total: 5369.54660427041,2858.005124,3192.578336,10058.05635, Mag 12, Accel 21, lowestaccel 10, lowestMag 12,9963.166919
Total: 5079.76056152884,2977.97379,3192.604118,9068.703777, Mag 34, Accel 22, lowestaccel 7, lowestMag 34,9972.255024
Total: 6939.86959723095,5811.500019,3192.857832,11815.25094, Mag 30, Accel 92, lowestaccel 8, lowestMag 30,12797.59077
Total: 9120.21442566156,5766.077511,3192.873108,18401.69266, Mag 4, Accel 88, lowestaccel 8, lowestMag 4,13415.38524
Total: 6812.40454603928,5800.852299,3192.918212,11443.44313, Mag 23, Accel 91, lowestaccel 8, lowestMag 23,12750.94781
Total: 5086.19221262955,1602.321765,3193.018836,10463.23604, Mag 12, Accel 11, lowestaccel 10, lowestMag 12,8874.450864
Total: 6822.03659230016,5778.178486,3193.078232,11494.85306, Mag 10, Accel 89, lowestaccel 9, lowestMag 10,12736.00241
Total: 5125.77629670226,3089.613281,3193.268558,9094.447051, Mag 55, Accel 23, lowestaccel 7, lowestMag 55,10076.63377
Total: 6640.37345068928,5789.932821,3193.284101,10937.90343, Mag 16, Accel 90, lowestaccel 9, lowestMag 16,12691.29808
Total: 5077.73265783868,2978.340489,3193.366082,9061.491402, Mag 35, Accel 22, lowestaccel 7, lowestMag 35,9973.387745
Total: 5256.94990633176,2858.683538,3193.458268,9718.707913, Mag 13, Accel 21, lowestaccel 10, lowestMag 13,9931.602512
Total: 6925.09083233563,5811.858848,3193.517058,11769.89659, Mag 29, Accel 92, lowestaccel 8, lowestMag 29,12794.69674
Total: 9806.25880161333,5766.436176,3193.585838,20458.75439, Mag 3, Accel 88, lowestaccel 8, lowestMag 3,13622.83967
Total: 6792.80510935968,5801.204194,3193.603782,11383.60735, Mag 22, Accel 91, lowestaccel 8, lowestMag 22,12746.65207
Total: 3831.79139820975,1338.618461,3193.640166,6963.115568, Mag 52, Accel 8, lowestaccel 7, lowestMag 52,8288.348503
Total: 6981.48955301667,5778.487524,3193.822495,11972.15864, Mag 9, Accel 89, lowestaccel 9, lowestMag 9,12785.49963
Total: 5125.50292320474,3089.929619,3193.982852,9092.596298, Mag 56, Accel 23, lowestaccel 7, lowestMag 56,10078.16199
Total: 6621.43312115956,5790.265862,3193.999568,10880.03393, Mag 15, Accel 90, lowestaccel 9, lowestMag 15,12687.24181
Total: 5075.85242513336,2978.705348,3194.129679,9054.722249, Mag 36, Accel 22, lowestaccel 7, lowestMag 36,9974.566396
Total: 6909.59967132526,5812.216601,3194.178622,11722.40379, Mag 28, Accel 92, lowestaccel 8, lowestMag 28,12791.59256
Total: 10586.9608470743,5766.807498,3194.287768,22799.78728, Mag 2, Accel 88, lowestaccel 7, lowestMag 2,13858.68101
Total: 6771.67194819711,5801.562214,3194.292757,11319.16087, Mag 21, Accel 91, lowestaccel 8, lowestMag 21,12741.90759
Total: 3993.47049836114,1393.314775,3194.313313,7392.783407, Mag 37, Accel 9, lowestaccel 7, lowestMag 37,8381.888264
Total: 5205.86023210228,2859.324721,3194.345252,9563.910723, Mag 14, Accel 21, lowestaccel 10, lowestMag 14,9918.473826
Total: 10763.7648972325,1716.073813,3194.3603,27380.86058, Mag 1, Accel 12, lowestaccel 7, lowestMag 1,10671.27309
Total: 7236.8649098975,5778.797162,3194.567188,12737.23038, Mag 8, Accel 89, lowestaccel 9, lowestMag 8,12863.77486
Total: 5125.2664719931,3090.246096,3194.697143,9090.856177, Mag 57, Accel 23, lowestaccel 7, lowestMag 57,10079.70139
Total: 6612.43317780811,5790.594159,3194.719157,10851.98622, Mag 14, Accel 90, lowestaccel 10, lowestMag 14,12686.17168
Total: 6893.38268302306,5812.572785,3194.843144,11672.73212, Mag 27, Accel 92, lowestaccel 8, lowestMag 27,12788.27501
Total: 5073.98453714136,2979.0701,3194.89558,9047.987931, Mag 37, Accel 22, lowestaccel 7, lowestMag 37,9975.753044
Total: 6749.08878675639,5801.916676,3194.985043,11250.36464, Mag 20, Accel 91, lowestaccel 8, lowestMag 20,12736.73156
Total: 11458.7436818136,5767.182943,3194.987405,25414.0607, Mag 1, Accel 88, lowestaccel 7, lowestMag 1,14121.84553
Total: 5172.71392587612,2859.940098,3195.232061,9462.969618, Mag 15, Accel 21, lowestaccel 9, lowestMag 15,9910.707173
Total: 7583.51867461561,5779.110438,3195.309333,13776.13625, Mag 7, Accel 89, lowestaccel 9, lowestMag 7,12969.43169
Total: 5125.06943328947,3090.56389,3195.414411,9089.229999, Mag 58, Accel 23, lowestaccel 7, lowestMag 58,10081.25932
Total: 6625.01669569012,5790.918102,3195.44319,10888.6888, Mag 13, Accel 90, lowestaccel 10, lowestMag 13,12691.58155
Total: 9765.08701246961,1718.44201,3195.455202,24381.36383, Mag 2, Accel 12, lowestaccel 7, lowestMag 2,10375.6446
Total: 4269.44162784605,1490.65422,3195.481246,8122.189417, Mag 24, Accel 10, lowestaccel 8, lowestMag 24,8544.770232
Total: 5072.2234131211,2979.434573,3195.660791,9041.574876, Mag 38, Accel 22, lowestaccel 7, lowestMag 38,9976.970185
Total: 6725.13364519451,5802.267568,3195.680809,11177.45256, Mag 19, Accel 91, lowestaccel 9, lowestMag 19,12731.14769
Total: 4919.47347748149,1603.469918,3196.009697,9958.940817, Mag 13, Accel 11, lowestaccel 10, lowestMag 13,8831.036403
Total: 8019.33610298475,5779.430648,3196.044964,15082.5327, Mag 6, Accel 89, lowestaccel 9, lowestMag 6,13101.83078
Total: 5147.00217662416,2860.537638,3196.120055,9384.348837, Mag 16, Accel 21, lowestaccel 9, lowestMag 16,9905.158867
Total: 5124.96464360307,3090.882099,3196.131672,9087.880159, Mag 59, Accel 23, lowestaccel 7, lowestMag 59,10082.84525
Total: 6662.65131526677,5791.237454,3196.171359,11000.54513, Mag 12, Accel 90, lowestaccel 10, lowestMag 12,12704.51094
Total: 6859.24414014439,5813.279761,3196.180618,11568.27204, Mag 25, Accel 92, lowestaccel 8, lowestMag 25,12781.14023
Total: 6700.15938640758,5802.61461,3196.380154,11101.4834, Mag 18, Accel 91, lowestaccel 9, lowestMag 18,12725.2618
Total: 5070.48156180864,2979.797642,3196.429065,9035.217978, Mag 39, Accel 22, lowestaccel 7, lowestMag 39,9978.197806
Total: 3827.39244175978,1339.96565,3196.754496,6945.45718, Mag 53, Accel 8, lowestaccel 7, lowestMag 53,8294.023795
Total: 8529.76232481797,5779.761711,3196.770303,16612.75496, Mag 5, Accel 89, lowestaccel 8, lowestMag 5,13256.60164
Total: 5124.90718998624,3091.199934,3196.85001,9086.671626, Mag 60, Accel 23, lowestaccel 7, lowestMag 60,10084.44712
Total: 6841.87728044924,5813.629988,3196.854034,11515.14782, Mag 24, Accel 92, lowestaccel 8, lowestMag 24,12777.48984
Total: 6728.1825522785,5791.553222,3196.903486,11196.09095, Mag 11, Accel 90, lowestaccel 10, lowestMag 11,12725.81397
Total: 8885.10550544304,1720.495186,3196.951097,21737.87023, Mag 3, Accel 12, lowestaccel 8, lowestMag 3,10116.13489
Total: 5126.21381277548,2861.106039,3197.005605,9320.529794, Mag 17, Accel 21, lowestaccel 9, lowestMag 17,9901.059626
Total: 6674.79838460647,5802.957377,3197.083394,11024.35438, Mag 17, Accel 91, lowestaccel 9, lowestMag 17,12719.26387
Total: 5068.85910950708,2980.16073,3197.19804,9029.218559, Mag 40, Accel 22, lowestaccel 7, lowestMag 40,9979.462593
Total: 3983.23173275455,1394.635628,3197.307944,7357.751627, Mag 38, Accel 9, lowestaccel 7, lowestMag 38,8385.563115
Total: 9123.82305983688,5780.107104,3197.482307,18393.87977, Mag 4, Accel 89, lowestaccel 8, lowestMag 4,13436.44898
Total: 6823.50217204517,5813.977833,3197.530399,11458.99828, Mag 23, Accel 92, lowestaccel 8, lowestMag 23,12773.54068
Total: 6951.19247850559,5824.331979,3197.615312,11831.63014, Mag 30, Accel 93, lowestaccel 8, lowestMag 30,12820.29242
Total: 6830.21342883929,5791.866235,3197.639035,11501.13502, Mag 1, Accel 9, lowestaccel 1, lowestMag 1,12758.07118
Total: 6830.21342883929,5791.866235,3197.639035,11501.13502, Mag 10, Accel 90, lowestaccel 9, lowestMag 10,12758.07118
Total: 6650.62415743092,5803.295832,3197.790479,10950.78616, Mag 16, Accel 91, lowestaccel 9, lowestMag 16,12713.62582
Total: 5109.0859220396,2861.651752,3197.887278,9267.718736, Mag 18, Accel 21, lowestaccel 9, lowestMag 18,9898.033007
Total: 5067.24866823751,2980.523165,3197.969733,9023.253107, Mag 41, Accel 22, lowestaccel 7, lowestMag 41,9980.735624
Total: 9808.84858527332,5780.467512,3198.180179,20447.89806, Mag 3, Accel 89, lowestaccel 8, lowestMag 3,13643.57093
Total: 6803.82026674071,5814.322638,3198.210082,11398.92808, Mag 22, Accel 92, lowestaccel 8, lowestMag 22,12769.20335
Total: 6936.33191301499,5824.690304,3198.270172,11786.03526, Mag 29, Accel 93, lowestaccel 8, lowestMag 29,12817.36514
Total: 6988.53964013507,5792.177855,3198.377,11975.06407, Mag 9, Accel 90, lowestaccel 9, lowestMag 9,12807.22048
Total: 4247.8431217837,1491.856052,3198.431196,8053.242118, Mag 25, Accel 10, lowestaccel 8, lowestMag 25,8544.85705
Total: 6631.3477174694,5803.629826,3198.501953,10891.91137, Mag 15, Accel 91, lowestaccel 9, lowestMag 15,12709.46189
Total: 5065.77993795163,2980.886274,3198.742355,9017.711185, Mag 42, Accel 22, lowestaccel 7, lowestMag 42,9982.053475
Total: 5094.66115927451,2862.176627,3198.767204,9223.039647, Mag 19, Accel 21, lowestaccel 9, lowestMag 19,9895.797337
Total: 8128.65286172246,1722.286283,3198.802412,19464.86989, Mag 4, Accel 12, lowestaccel 8, lowestMag 4,9894.149466
Total: 10588.2924949876,5780.839582,3198.868448,22785.16946, Mag 2, Accel 89, lowestaccel 7, lowestMag 2,13879.00946
Total: 6782.61614872206,5814.664496,3198.892896,11334.29105, Mag 21, Accel 92, lowestaccel 8, lowestMag 21,12764.41294
Total: 6920.79643111526,5825.047764,3198.927529,11738.414, Mag 28, Accel 93, lowestaccel 8, lowestMag 28,12814.23944
Total: 4788.87161581627,1604.630288,3198.979036,9563.005523, Mag 14, Accel 11, lowestaccel 10, lowestMag 14,8798.425884
Total: 5579.50629198741,1484.127731,3199.023928,12055.36722, Mag 1, Accel 1, lowestaccel 1, lowestMag 1,8939.299537
Total: 7243.32315858494,5792.490183,3199.115211,12738.36408, Mag 8, Accel 90, lowestaccel 9, lowestMag 8,12885.30799
Total: 6621.93632071057,5803.95935,3199.217674,10862.63194, Mag 14, Accel 91, lowestaccel 10, lowestMag 14,12708.26196
Total: 5064.34021876549,2981.248105,3199.515641,9012.25691, Mag 43, Accel 22, lowestaccel 7, lowestMag 43,9983.380268
Total: 11458.6157183298,5781.215132,3199.556752,25395.07527, Mag 1, Accel 89, lowestaccel 7, lowestMag 1,14141.71465
Total: 6759.89992891654,5815.003071,3199.578894,11265.11782, Mag 20, Accel 92, lowestaccel 8, lowestMag 20,12759.17233
Total: 6904.49819381421,5825.403694,3199.587684,11688.5032, Mag 27, Accel 93, lowestaccel 8, lowestMag 27,12810.88901
Total: 5082.40979693857,2862.683247,3199.64112,9184.905024, Mag 20, Accel 21, lowestaccel 8, lowestMag 20,9894.187665
Total: 7588.80326300864,5792.805985,3199.850632,13773.75317, Mag 7, Accel 90, lowestaccel 9, lowestMag 7,12990.60197
Total: 3823.21930034507,1341.317583,3199.854806,6928.485512, Mag 54, Accel 8, lowestaccel 7, lowestMag 54,8299.743988
Total: 6633.95779438531,5804.284668,3199.93826,10897.65045, Mag 13, Accel 91, lowestaccel 10, lowestMag 13,12713.49777
Total: 6735.78755569294,5815.33793,3200.268369,11191.75637, Mag 19, Accel 92, lowestaccel 9, lowestMag 19,12753.51651
Total: 3973.57455056796,1395.991992,3200.281505,7324.450155, Mag 39, Accel 9, lowestaccel 7, lowestMag 39,8389.400817
Total: 5062.95746557149,2981.611138,3200.291975,9006.969284, Mag 44, Accel 22, lowestaccel 7, lowestMag 44,9984.730903
Total: 5071.90968388867,2863.174825,3200.512509,9152.041718, Mag 21, Accel 21, lowestaccel 8, lowestMag 21,9893.086532
Total: 8024.19452114698,5793.128769,3200.580115,15078.87468, Mag 6, Accel 90, lowestaccel 9, lowestMag 6,13122.86359
Total: 6671.29330105936,5804.605751,3200.663344,11008.61081, Mag 12, Accel 91, lowestaccel 10, lowestMag 12,12726.33295
Total: 6870.27957066359,5826.110032,3200.91607,11583.81261, Mag 25, Accel 93, lowestaccel 8, lowestMag 25,12803.71243
Total: 7487.71974734995,1723.88713,3200.926116,17538.346, Mag 5, Accel 12, lowestaccel 8, lowestMag 5,9707.185249
Total: 6710.67581205474,5815.671296,3200.96159,11115.39455, Mag 18, Accel 92, lowestaccel 9, lowestMag 18,12747.5668
Total: 5061.69262082423,2981.973922,3201.070548,9002.033393, Mag 45, Accel 22, lowestaccel 7, lowestMag 45,9986.120964
Total: 11016.3531953568,2734.197175,3201.274839,27113.58757, Mag 1, Accel 20, lowestaccel 7, lowestMag 1,11574.68589
Total: 8534.0392676423,5793.462366,3201.30037,16607.35507, Mag 5, Accel 90, lowestaccel 8, lowestMag 5,13277.45238
Total: 4227.72062208814,1493.082557,3201.346955,7988.732354, Mag 26, Accel 10, lowestaccel 8, lowestMag 26,8545.341447
Total: 5062.79976843439,2863.653183,3201.378373,9123.367749, Mag 22, Accel 21, lowestaccel 8, lowestMag 22,9892.381386
Total: 10023.6263391907,2734.943265,3201.388101,24134.54765, Mag 2, Accel 20, lowestaccel 7, lowestMag 2,11277.6799
Total: 6736.51793687871,5804.923105,3201.392893,11203.23781, Mag 11, Accel 91, lowestaccel 10, lowestMag 11,12747.54036
Total: 6852.8862088133,5826.460042,3201.584644,11530.61394, Mag 24, Accel 93, lowestaccel 8, lowestMag 24,12800.04472
Total: 6685.13967988336,5816.014719,3201.658346,11037.74597, Mag 17, Accel 92, lowestaccel 9, lowestMag 17,12741.50454
Total: 9142.64438152591,2735.721212,3201.690027,21490.52191, Mag 3, Accel 20, lowestaccel 8, lowestMag 3,11014.58133
Total: 5060.46007882955,2982.337022,3201.848988,8997.194226, Mag 46, Accel 22, lowestaccel 7, lowestMag 46,9987.520719
Total: 4683.99189004361,1605.780763,3201.916519,9244.278389, Mag 15, Accel 11, lowestaccel 9, lowestMag 15,8773.463563
Total: 9127.31605143698,5793.809789,3202.010179,18386.12819, Mag 4, Accel 90, lowestaccel 8, lowestMag 4,13457.06199
Total: 6838.23248239116,5805.238223,3202.126003,11507.33322, Mag 10, Accel 91, lowestaccel 9, lowestMag 10,12779.69973
Total: 8380.19081121817,2736.557551,3202.171793,19201.84309, Mag 4, Accel 20, lowestaccel 8, lowestMag 4,10787.42969
Total: 6962.29156674943,5836.877633,3202.241242,11847.75583, Mag 30, Accel 94, lowestaccel 8, lowestMag 30,12842.44794
Total: 5054.94730019696,2864.121703,3202.243215,9098.476982, Mag 23, Accel 21, lowestaccel 8, lowestMag 23,9892.043662
Total: 6834.46912818454,5826.807688,3202.256231,11474.34347, Mag 23, Accel 93, lowestaccel 8, lowestMag 23,12796.07373
Total: 6660.73810894049,5816.353735,3202.358995,10963.5016, Mag 16, Accel 92, lowestaccel 9, lowestMag 16,12735.78651
Total: 5059.24253793395,2982.69939,3202.62983,8992.398393, Mag 47, Accel 22, lowestaccel 7, lowestMag 47,9988.928951
Total: 9811.33144023062,5794.171845,3202.704171,20437.1183, Mag 3, Accel 90, lowestaccel 8, lowestMag 3,13663.87483
Total: 7730.57513951087,2737.465581,3202.794668,17251.46517, Mag 5, Accel 20, lowestaccel 8, lowestMag 5,10594.45488
Total: 6995.45152640251,5805.552091,3202.862203,11977.94029, Mag 9, Accel 91, lowestaccel 9, lowestMag 9,12828.51532
Total: 6947.35021458119,5837.235607,3202.891429,11801.92361, Mag 29, Accel 94, lowestaccel 8, lowestMag 29,12839.48727
Total: 6814.71399550655,5827.152667,3202.930858,11414.05846, Mag 22, Accel 93, lowestaccel 8, lowestMag 22,12791.70496
Total: 3819.26580703006,1342.691781,3202.939213,6912.166428, Mag 55, Accel 8, lowestaccel 7, lowestMag 55,8305.517671
Total: 6641.12909633385,5816.688648,3203.063822,10903.63482, Mag 15, Accel 92, lowestaccel 9, lowestMag 15,12731.51091
Total: 5048.41713787046,2864.58135,3203.102233,9077.567831, Mag 24, Accel 21, lowestaccel 8, lowestMag 24,9892.084464
Total: 3964.46353671081,1397.373261,3203.237406,7292.779943, Mag 40, Accel 9, lowestaccel 7, lowestMag 40,8393.388742
Total: 6948.56565452985,1725.337437,3203.249348,15917.11018, Mag 6, Accel 12, lowestaccel 9, lowestMag 6,9551.013407
Total: 10589.5289358106,5794.544534,3203.3863,22770.65597, Mag 2, Accel 90, lowestaccel 7, lowestMag 2,13898.92828
Total: 5058.20370594172,2983.062051,3203.410567,8988.1385, Mag 48, Accel 22, lowestaccel 7, lowestMag 48,9990.39083
Total: 7181.95321353722,2738.415695,3203.52716,15603.91679, Mag 6, Accel 20, lowestaccel 9, lowestMag 6,10432.02012
Total: 6931.77161199079,5837.59226,3203.54454,11754.17804, Mag 28, Accel 94, lowestaccel 8, lowestMag 28,12836.33992
Total: 7249.65208057188,5805.86682,3203.598755,12739.49067, Mag 8, Accel 91, lowestaccel 9, lowestMag 8,12906.42671
Total: 6793.43851651673,5827.494378,3203.608462,11349.21271, Mag 21, Accel 93, lowestaccel 8, lowestMag 21,12786.88314
Total: 6631.32367115088,5817.01908,3203.77253,10873.1794, Mag 14, Accel 92, lowestaccel 10, lowestMag 14,12730.18017
Total: 5043.00643931468,2865.032871,3203.960234,9060.026213, Mag 25, Accel 21, lowestaccel 8, lowestMag 25,9892.452673
Total: 11458.4067375006,5794.920014,3204.067281,25376.23292, Mag 1, Accel 90, lowestaccel 7, lowestMag 1,14161.18587
Total: 5057.18454953414,2983.425001,3204.19488,8983.933768, Mag 49, Accel 22, lowestaccel 7, lowestMag 49,9991.865638
Total: 6915.39405667397,5837.94776,3204.200135,11704.03428, Mag 27, Accel 94, lowestaccel 8, lowestMag 27,12832.95668
Total: 4208.90936255119,1494.346585,3204.232728,7928.148775, Mag 27, Accel 10, lowestaccel 8, lowestMag 27,8546.192259
Total: 6770.59645052453,5827.833101,3204.289456,11279.66679, Mag 20, Accel 93, lowestaccel 8, lowestMag 20,12781.59538
Total: 7593.97622157899,5806.185187,3204.333128,13771.41035, Mag 7, Accel 91, lowestaccel 9, lowestMag 7,13011.37396
Total: 6720.54637905205,2739.378417,3204.340865,14217.91985, Mag 7, Accel 20, lowestaccel 9, lowestMag 7,10295.91429
Total: 6642.77134888646,5817.345431,3204.485319,10906.4833, Mag 13, Accel 92, lowestaccel 10, lowestMag 13,12735.22986
Total: 5038.44229186376,2865.478182,3204.814709,9045.033984, Mag 26, Accel 21, lowestaccel 8, lowestMag 26,9893.063181
Total: 4598.58078103105,1606.929579,3204.820682,8983.992082, Mag 16, Accel 11, lowestaccel 9, lowestMag 16,8754.277193
Total: 6746.33545799497,5828.168256,3204.973748,11205.86437, Mag 19, Accel 93, lowestaccel 9, lowestMag 19,12775.88536
Total: 5056.20274009108,2983.789175,3204.978327,8979.840718, Mag 50, Accel 22, lowestaccel 7, lowestMag 50,9993.350983
Total: 8028.94486413756,5806.510276,3205.061386,15075.26293, Mag 6, Accel 91, lowestaccel 9, lowestMag 6,13143.50831
Total: 6679.81171101926,5817.668011,3205.202669,11016.56445, Mag 12, Accel 92, lowestaccel 10, lowestMag 12,12747.96299
Total: 6332.91069361021,2740.334435,3205.216823,13053.18082, Mag 8, Accel 20, lowestaccel 9, lowestMag 8,10182.05272
Total: 6881.10984620148,5838.653481,3205.51906,11599.157, Mag 25, Accel 94, lowestaccel 8, lowestMag 25,12825.74195
Total: 6721.09260640842,5828.499564,3205.661513,11129.11674, Mag 18, Accel 93, lowestaccel 9, lowestMag 18,12769.88431
Total: 5034.43664910421,2865.918714,3205.667324,9031.723909, Mag 27, Accel 21, lowestaccel 8, lowestMag 27,9893.833882
Total: 6496.14582025735,1726.692053,3205.712051,14556.03336, Mag 7, Accel 12, lowestaccel 9, lowestMag 7,9421.050285
Total: 5055.28792687039,2984.152135,3205.764364,8975.947281, Mag 51, Accel 22, lowestaccel 7, lowestMag 51,9994.860378
Total: 8538.21106660745,5806.84632,3205.779427,16602.00745, Mag 5, Accel 91, lowestaccel 8, lowestMag 5,13297.92129
Total: 6744.7405861024,5817.987164,3205.923666,11210.31093, Mag 11, Accel 92, lowestaccel 10, lowestMag 11,12769.06687
Total: 3815.52714212185,1344.103319,3206.010883,6896.467224, Mag 56, Accel 8, lowestaccel 7, lowestMag 56,8311.361476
Total: 6006.93524110622,2741.261816,3206.135839,12073.40807, Mag 9, Accel 20, lowestaccel 9, lowestMag 9,10086.74812
Total: 3955.81758877086,1398.760439,3206.17306,7262.519268, Mag 41, Accel 9, lowestaccel 7, lowestMag 41,8397.482441
Total: 6863.69732834709,5839.003171,3206.182954,11545.90586, Mag 24, Accel 94, lowestaccel 8, lowestMag 24,12822.05935
Total: 6695.40042864643,5828.82703,3206.352989,11051.02127, Mag 17, Accel 93, lowestaccel 9, lowestMag 17,12763.75243
Total: 9130.71229944034,5807.195701,3206.483518,18378.45768, Mag 4, Accel 91, lowestaccel 8, lowestMag 4,13477.28893
Total: 5030.85151848969,2866.35462,3206.517993,9019.681943, Mag 28, Accel 21, lowestaccel 8, lowestMag 28,9894.723338
Total: 5054.49444643376,2984.516539,3206.550306,8972.416494, Mag 52, Accel 22, lowestaccel 7, lowestMag 52,9996.407147
Total: 6846.13479093624,5818.304251,3206.647734,11513.45239, Mag 10, Accel 92, lowestaccel 9, lowestMag 10,12801.11453
Total: 6973.17814768475,5849.163723,3206.738489,11863.63223, Mag 30, Accel 95, lowestaccel 8, lowestMag 30,12864.08755
Total: 6845.22481928692,5839.350628,3206.84957,11489.47426, Mag 23, Accel 94, lowestaccel 8, lowestMag 23,12818.06213
Total: 6670.74898853411,5829.150457,3207.047856,10976.04865, Mag 16, Accel 93, lowestaccel 9, lowestMag 16,12757.93599
Total: 5732.18059783767,2742.151695,3207.090555,11247.29954, Mag 1, Accel 2, lowestaccel 1, lowestMag 1,10006.84759
Total: 5732.18059783767,2742.151695,3207.090555,11247.29954, Mag 10, Accel 20, lowestaccel 9, lowestMag 10,10006.84759
Total: 4191.28790492287,1495.623199,3207.093718,7871.146797, Mag 28, Accel 10, lowestaccel 8, lowestMag 28,8547.362995
Total: 9813.7225033236,5807.558985,3207.172568,20426.43596, Mag 3, Accel 91, lowestaccel 8, lowestMag 3,13683.79182
Total: 5053.74695042669,2984.880731,3207.338353,8969.021768, Mag 53, Accel 22, lowestaccel 7, lowestMag 53,9997.97154
Total: 5027.47255316788,2866.786285,3207.367968,9008.263407, Mag 29, Accel 21, lowestaccel 8, lowestMag 29,9895.669933
Total: 7002.27403120947,5818.620152,3207.373653,11980.82829, Mag 9, Accel 92, lowestaccel 9, lowestMag 9,12849.58827
Total: 6958.15493100273,5849.51122,3207.384215,11817.56936, Mag 29, Accel 95, lowestaccel 8, lowestMag 29,12861.08546
Total: 6825.41181504606,5839.69554,3207.51915,11429.02076, Mag 22, Accel 94, lowestaccel 8, lowestMag 22,12813.66636
Total: 4544.83112771406,1608.081954,3207.688391,8818.723039, Mag 17, Accel 11, lowestaccel 9, lowestMag 17,8744.522843
Total: 6650.8072362512,5829.46967,3207.74688,10915.20516, Mag 15, Accel 93, lowestaccel 9, lowestMag 15,12753.53698
Total: 10590.6785843465,5807.932371,3207.850249,22756.25313, Mag 2, Accel 91, lowestaccel 7, lowestMag 2,13918.46495
Total: 6942.53094517162,5849.858767,3208.032638,11769.70143, Mag 28, Accel 95, lowestaccel 8, lowestMag 28,12857.90831
Total: 5504.5391685369,2742.996831,3208.067266,10562.55341, Mag 11, Accel 20, lowestaccel 10, lowestMag 11,9941.087021
Total: 7255.88372117326,5818.93692,3208.09934,12740.6149, Mag 8, Accel 92, lowestaccel 9, lowestMag 8,12927.3034
Total: 5053.04932250878,2985.245788,3208.125858,8965.776321, Mag 54, Accel 22, lowestaccel 7, lowestMag 54,9999.550557
Total: 6804.05254042833,5840.03723,3208.191739,11363.92865, Mag 21, Accel 94, lowestaccel 8, lowestMag 21,12808.80985
Total: 5024.34857644208,2867.215512,3208.21712,8997.613098, Mag 30, Accel 21, lowestaccel 8, lowestMag 30,9896.68951
Total: 6116.28087380836,1727.961756,3208.27038,13412.61049, Mag 8, Accel 12, lowestaccel 9, lowestMag 8,9312.96739
Total: 6640.60867922256,5829.784659,3208.449775,10883.5916, Mag 14, Accel 93, lowestaccel 10, lowestMag 14,12752.0649
Total: 11458.1160287796,5808.307485,3208.52618,25357.51442, Mag 1, Accel 91, lowestaccel 7, lowestMag 1,14180.28054
Total: 6926.07544623561,5850.213638,3208.683556,11719.32915, Mag 27, Accel 95, lowestaccel 8, lowestMag 27,12854.4923
Total: 7599.0626563284,5819.257613,3208.821726,13769.10863, Mag 7, Accel 92, lowestaccel 9, lowestMag 7,13031.88617
Total: 6781.08653019874,5840.375855,3208.867492,11294.01624, Mag 20, Accel 94, lowestaccel 8, lowestMag 20,12803.47488
Total: 5052.39460616184,2985.610157,3208.91478,8962.658882, Mag 55, Accel 22, lowestaccel 7, lowestMag 55,10001.14459
Total: 5337.11360765055,2743.798006,3209.059059,10058.48376, Mag 12, Accel 20, lowestaccel 10, lowestMag 12,9893.384699
Total: 5021.31885037992,2867.642729,3209.066762,8987.24706, Mag 31, Accel 21, lowestaccel 8, lowestMag 31,9897.736687
