Total,Roll,Pitch,Yaw,,,,,new total
Total: 5242.60933454252,2776.927895,2533.164087,10417.73602, Mag 57, Accel 1, lowestaccel 7, lowestMag 56,8607.336882
Total: 5072.03681784541,1982.800376,2534.756196,10698.55388, Mag 20, Accel 3, lowestaccel 9, lowestMag 19,7923.88812
Total: 10685.4391824633,1666.393294,2537.726329,27852.19792, Mag 1, Accel 4, lowestaccel 4, lowestMag 1,9360.426415
Total: 4902.48347599038,2335.511312,2538.581963,9833.357153, Mag 40, Accel 2, lowestaccel 7, lowestMag 39,8162.459822
Total: 5236.4340680629,2776.218893,2538.854369,10394.22894, Mag 58, Accel 1, lowestaccel 7, lowestMag 57,8615.728636
Total: 5017.4460868384,1982.707776,2541.699839,10527.93065, Mag 21, Accel 3, lowestaccel 8, lowestMag 20,7920.62974
Total: 9745.42695274953,1671.014041,2542.74905,25022.51777, Mag 2, Accel 4, lowestaccel 4, lowestMag 2,9091.662513
Total: 5230.47390123066,2775.518365,2544.512391,10371.39095, Mag 59, Accel 1, lowestaccel 7, lowestMag 58,8624.130406
Total: 4890.14230464472,2334.969746,2544.737444,9790.719724, Mag 41, Accel 2, lowestaccel 7, lowestMag 40,8170.019631
Total: 4968.06510226808,1982.577225,2548.564735,10373.05335, Mag 22, Accel 3, lowestaccel 8, lowestMag 21,7918.754306
Total: 8936.92119852829,1675.005765,2548.592642,22587.16519, Mag 3, Accel 4, lowestaccel 4, lowestMag 3,8863.406992
Total: 5224.72993381648,2774.833511,2550.156832,10349.19946, Mag 60, Accel 1, lowestaccel 7, lowestMag 59,8632.58377
Total: 4878.47045937137,2334.44839,2550.881113,9750.081875, Mag 42, Accel 2, lowestaccel 7, lowestMag 41,8177.773965
Total: 8254.4363435487,1678.422789,2555.065604,20529.82064, Mag 4, Accel 4, lowestaccel 4, lowestMag 4,8673.693782
Total: 4923.23650695038,1982.411798,2555.389565,10231.90816, Mag 23, Accel 3, lowestaccel 8, lowestMag 22,7918.140564
Total: 4867.4187701292,2333.938733,2557.023582,9711.293995, Mag 43, Accel 2, lowestaccel 7, lowestMag 42,8185.721423
Total: 7683.5427350164,1681.362692,2562.031828,18807.23369, Mag 5, Accel 4, lowestaccel 4, lowestMag 5,8518.013448
Total: 4882.37661206611,1982.212552,2562.127542,10102.78974, Mag 24, Accel 3, lowestaccel 8, lowestMag 23,7918.525355
Total: 4856.93231722596,2333.440402,2563.139799,9674.216751, Mag 44, Accel 2, lowestaccel 7, lowestMag 43,8193.797635
Total: 4845.02798983556,1981.997806,2568.794821,9984.291343, Mag 25, Accel 3, lowestaccel 8, lowestMag 24,7919.816801
Total: 4846.97439300985,2332.950353,2569.240944,9638.731882, Mag 45, Accel 2, lowestaccel 7, lowestMag 44,8202.010393
Total: 7207.27876423031,1683.879063,2569.287257,17368.66997, Mag 6, Accel 4, lowestaccel 4, lowestMag 6,8390.932668
Total: 4837.53846418725,2332.480719,2575.370155,9604.764518, Mag 46, Accel 2, lowestaccel 7, lowestMag 45,8210.449409
Total: 4837.53846418725,2332.480719,2575.370155,9604.764518, Mag 46, Accel 2, lowestaccel 2, lowestMag 46,8210.449409
Total: 4810.77989018824,1981.754472,2575.436782,9875.148417, Mag 26, Accel 3, lowestaccel 8, lowestMag 25,7921.96743
Total: 6809.52421923631,1686.03572,2576.782465,16165.75447, Mag 7, Accel 4, lowestaccel 4, lowestMag 7,8287.572525
Total: 4828.58946745172,2332.027028,2581.539851,9572.201523, Mag 47, Accel 2, lowestaccel 7, lowestMag 46,8219.12418
Total: 4779.30795232452,1981.504831,2582.065036,9774.35399, Mag 27, Accel 3, lowestaccel 3, lowestMag 27,7924.919819
Total: 6476.1653263376,1687.875223,2584.37902,15156.24174, Mag 8, Accel 4, lowestaccel 9, lowestMag 7,8203.469915
Total: 4820.08557058821,2331.589821,2587.709303,9540.957588, Mag 48, Accel 2, lowestaccel 7, lowestMag 47,8227.945204
Total: 4750.28011813908,1981.238202,2588.625933,9680.97622, Mag 28, Accel 3, lowestaccel 8, lowestMag 27,7928.463869
Total: 6195.43543576431,1689.445672,2592.030216,14304.83042, Mag 9, Accel 4, lowestaccel 9, lowestMag 8,8135.044579
Total: 4811.97808832101,2331.158908,2593.846095,9510.929262, Mag 49, Accel 2, lowestaccel 7, lowestMag 48,8236.828133
Total: 4723.44789392967,1980.966475,2595.120948,9594.256259, Mag 29, Accel 3, lowestaccel 8, lowestMag 28,7932.53735
Total: 5957.70174704063,1690.772889,2599.725848,13582.6065, Mag 10, Accel 4, lowestaccel 9, lowestMag 9,8079.407948
Total: 4804.25467669999,2330.74579,2599.950448,9482.067792, Mag 50, Accel 2, lowestaccel 7, lowestMag 49,8245.778886
Total: 4698.58896454182,1980.691451,2601.562621,9513.512822, Mag 30, Accel 3, lowestaccel 8, lowestMag 29,7937.098829
Total: 4796.88049191641,2330.341318,2606.016209,9454.283949, Mag 51, Accel 2, lowestaccel 7, lowestMag 50,8254.767999
Total: 5755.17861939676,1691.906059,2607.411245,12966.21855, Mag 11, Accel 4, lowestaccel 9, lowestMag 10,8034.159799
Total: 4675.51189498121,1980.408868,2607.980529,9438.146288, Mag 31, Accel 3, lowestaccel 8, lowestMag 30,7942.143668
Total: 4675.51189498121,1980.408868,2607.980529,9438.146288, Mag 31, Accel 3, lowestaccel 3, lowestMag 31,7942.143668
Total: 4789.86618269879,2329.955331,2612.106166,9427.537051, Mag 52, Accel 2, lowestaccel 7, lowestMag 51,8263.925835
Total: 4654.03907840241,1980.125525,2614.340146,9367.651564, Mag 32, Accel 3, lowestaccel 8, lowestMag 31,7947.558421
Total: 5581.58661598487,1692.856679,2615.089176,12436.81399, Mag 12, Accel 4, lowestaccel 10, lowestMag 11,7997.430762
Total: 4783.1677011849,2329.57966,2618.172228,9401.751215, Mag 53, Accel 2, lowestaccel 7, lowestMag 52,8273.141272
